,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,False,00:45,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,False,01:00,44811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0
5,1,6,False,01:15,44811,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0
6,1,6,False,01:30,44811,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
7,1,6,False,01:45,44811,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,25,0,0,0,0,0
8,1,6,False,02:00,44721,0,0,0,0,0,15,0,0,0,0,0,37,0,0,44,0,0,183,0,0,0,0,0
9,1,6,False,02:15,44419,0,0,44,0,0,110,0,0,0,0,0,16,0,0,323,0,0,88,0,0,0,0,0
10,1,6,False,02:30,44432,0,0,312,0,0,148,0,0,0,0,0,3,0,0,55,0,0,50,0,0,0,0,0
11,1,6,False,02:45,44434,0,0,357,0,0,182,0,0,0,0,0,1,0,0,10,0,0,16,0,0,0,0,0
12,1,6,False,03:00,44435,0,0,367,0,0,194,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
13,1,6,False,03:15,44435,0,0,367,0,0,195,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
