,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
3,1,6,False,00:45,44948,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,24,0,0
4,1,6,False,01:00,44703,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,245,0,0,12,0,0
5,1,6,False,01:15,44703,0,0,0,0,0,134,0,0,48,0,0,0,0,0,0,0,0,111,0,0,4,0,0
6,1,6,False,01:30,44703,0,0,0,0,0,207,0,0,49,0,0,0,0,0,0,0,0,38,0,0,3,0,0
7,1,6,False,01:45,44703,0,0,0,0,0,0,0,0,50,0,0,226,0,0,0,0,0,19,0,0,2,0,0
8,1,6,False,02:00,43861,0,0,0,0,0,8,0,0,50,0,0,87,0,0,103,0,0,889,0,0,2,0,0
9,1,6,False,02:15,43883,0,0,79,0,0,497,0,0,50,0,0,30,0,0,59,0,0,400,0,0,2,0,0
10,1,6,False,02:30,43898,0,0,136,0,0,741,0,0,51,0,0,15,0,0,2,0,0,156,0,0,1,0,0
11,1,6,False,02:45,43913,0,0,138,0,0,830,0,0,52,0,0,0,0,0,0,0,0,67,0,0,0,0,0
12,1,6,False,03:00,43913,0,0,138,0,0,878,0,0,52,0,0,0,0,0,0,0,0,19,0,0,0,0,0
13,1,6,False,03:15,43913,0,0,138,0,0,889,0,0,52,0,0,0,0,0,0,0,0,8,0,0,0,0,0
