,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
3,1,6,False,00:45,44871,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,59,0,0
4,1,6,False,01:00,44519,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,352,0,0,32,0,0
5,1,6,False,01:15,44519,0,0,0,0,0,201,0,0,110,0,0,0,0,0,0,0,0,151,0,0,19,0,0
6,1,6,False,01:30,44519,0,0,0,0,0,292,0,0,120,0,0,0,0,0,0,0,0,60,0,0,9,0,0
7,1,6,False,01:45,44519,0,0,0,0,0,0,0,0,124,0,0,331,0,0,0,0,0,21,0,0,5,0,0
8,1,6,False,02:00,43964,0,0,0,0,0,10,0,0,126,0,0,136,0,0,78,0,0,683,0,0,3,0,0
9,1,6,False,02:15,43968,0,0,78,0,0,369,0,0,128,0,0,61,0,0,71,0,0,324,0,0,1,0,0
10,1,6,False,02:30,44016,0,0,149,0,0,554,0,0,128,0,0,13,0,0,0,0,0,139,0,0,1,0,0
11,1,6,False,02:45,44023,0,0,149,0,0,633,0,0,128,0,0,6,0,0,0,0,0,60,0,0,1,0,0
12,1,6,False,03:00,44026,0,0,149,0,0,669,0,0,128,0,0,3,0,0,0,0,0,24,0,0,1,0,0
13,1,6,False,03:15,44029,0,0,149,0,0,681,0,0,128,0,0,0,0,0,0,0,0,12,0,0,1,0,0
