,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0
3,1,6,False,00:45,44742,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,119,0,0
4,1,6,False,01:00,44394,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,348,0,0,60,0,0
5,1,6,False,01:15,44394,0,0,0,0,0,196,0,0,230,0,0,0,0,0,0,0,0,152,0,0,28,0,0
6,1,6,False,01:30,44394,0,0,0,0,0,268,0,0,244,0,0,0,0,0,0,0,0,80,0,0,14,0,0
7,1,6,False,01:45,44394,0,0,0,0,0,0,0,0,248,0,0,323,0,0,0,0,0,25,0,0,10,0,0
8,1,6,False,02:00,44457,0,0,0,0,0,18,0,0,252,0,0,119,0,0,0,0,0,148,0,0,6,0,0
9,1,6,False,02:15,44462,0,0,0,0,0,95,0,0,256,0,0,44,0,0,70,0,0,71,0,0,2,0,0
10,1,6,False,02:30,44505,0,0,70,0,0,137,0,0,256,0,0,1,0,0,0,0,0,29,0,0,2,0,0
11,1,6,False,02:45,44506,0,0,70,0,0,157,0,0,257,0,0,0,0,0,0,0,0,9,0,0,1,0,0
12,1,6,False,03:00,44506,0,0,70,0,0,161,0,0,257,0,0,0,0,0,0,0,0,5,0,0,1,0,0
13,1,6,False,03:15,44506,0,0,70,0,0,165,0,0,257,0,0,0,0,0,0,0,0,1,0,0,1,0,0
