,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
3,1,6,False,00:45,44941,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,17,0,0
4,1,6,False,01:00,44501,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,440,0,0,10,0,0
5,1,6,False,01:15,44501,0,0,0,0,0,269,0,0,53,0,0,0,0,0,0,0,0,171,0,0,6,0,0
6,1,6,False,01:30,44501,0,0,0,0,0,359,0,0,56,0,0,0,0,0,0,0,0,81,0,0,3,0,0
7,1,6,False,01:45,44501,0,0,0,0,0,0,0,0,57,0,0,411,0,0,0,0,0,29,0,0,2,0,0
8,1,6,False,02:00,44432,0,0,0,0,0,15,0,0,57,0,0,172,0,0,308,0,0,14,0,0,2,0,0
9,1,6,False,02:15,44524,0,0,290,0,0,21,0,0,58,0,0,80,0,0,18,0,0,8,0,0,1,0,0
10,1,6,False,02:30,44566,0,0,308,0,0,26,0,0,58,0,0,38,0,0,0,0,0,3,0,0,1,0,0
11,1,6,False,02:45,44584,0,0,308,0,0,28,0,0,58,0,0,20,0,0,0,0,0,1,0,0,1,0,0
12,1,6,False,03:00,44598,0,0,308,0,0,28,0,0,58,0,0,6,0,0,0,0,0,1,0,0,1,0,0
13,1,6,False,03:15,44604,0,0,308,0,0,28,0,0,58,0,0,0,0,0,0,0,0,1,0,0,1,0,0
