,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0
3,1,6,False,00:45,44812,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,78,0,0
4,1,6,False,01:00,44272,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,540,0,0,25,0,0
5,1,6,False,01:15,44272,0,0,0,0,0,296,0,0,177,0,0,0,0,0,0,0,0,244,0,0,11,0,0
6,1,6,False,01:30,44272,0,0,0,0,0,467,0,0,183,0,0,0,0,0,0,0,0,73,0,0,5,0,0
7,1,6,False,01:45,44272,0,0,0,0,0,0,0,0,186,0,0,512,0,0,0,0,0,28,0,0,2,0,0
8,1,6,False,02:00,44592,0,0,0,0,0,17,0,0,187,0,0,192,0,0,0,0,0,11,0,0,1,0,0
9,1,6,False,02:15,44337,0,0,0,0,0,28,0,0,187,0,0,72,0,0,375,0,0,0,0,0,1,0,0
10,1,6,False,02:30,44370,0,0,304,0,0,28,0,0,187,0,0,39,0,0,71,0,0,0,0,0,1,0,0
11,1,6,False,02:45,44393,0,0,373,0,0,28,0,0,187,0,0,16,0,0,2,0,0,0,0,0,1,0,0
12,1,6,False,03:00,44407,0,0,374,0,0,28,0,0,187,0,0,2,0,0,1,0,0,0,0,0,1,0,0
13,1,6,False,03:15,44408,0,0,375,0,0,28,0,0,187,0,0,1,0,0,0,0,0,0,0,0,1,0,0
