,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0
3,1,6,False,00:45,44808,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,101,0,0
4,1,6,False,01:00,44337,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,471,0,0,46,0,0
5,1,6,False,01:15,44337,0,0,0,0,0,258,0,0,169,0,0,0,0,0,0,0,0,213,0,0,23,0,0
6,1,6,False,01:30,44337,0,0,0,0,0,380,0,0,179,0,0,0,0,0,0,0,0,91,0,0,13,0,0
7,1,6,False,01:45,44337,0,0,0,0,0,0,0,0,186,0,0,427,0,0,0,0,0,44,0,0,6,0,0
8,1,6,False,02:00,44156,0,0,0,0,0,23,0,0,188,0,0,136,0,0,386,0,0,107,0,0,4,0,0
9,1,6,False,02:15,44142,0,0,371,0,0,87,0,0,189,0,0,56,0,0,109,0,0,43,0,0,3,0,0
10,1,6,False,02:30,44166,0,0,468,0,0,115,0,0,191,0,0,32,0,0,12,0,0,15,0,0,1,0,0
11,1,6,False,02:45,44186,0,0,480,0,0,122,0,0,191,0,0,12,0,0,0,0,0,8,0,0,1,0,0
12,1,6,False,03:00,44198,0,0,480,0,0,127,0,0,191,0,0,0,0,0,0,0,0,3,0,0,1,0,0
13,1,6,False,03:15,44198,0,0,480,0,0,128,0,0,191,0,0,0,0,0,0,0,0,2,0,0,1,0,0
