,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0
3,1,6,False,00:45,44807,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,85,0,0
4,1,6,False,01:00,44807,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,43,0,0
5,1,6,False,01:15,44807,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,22,0,0
6,1,6,False,01:30,44807,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,11,0,0
7,1,6,False,01:45,44807,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,4,0,0
8,1,6,False,02:00,44203,0,0,0,0,0,0,0,0,192,0,0,0,0,0,80,0,0,524,0,0,1,0,0
9,1,6,False,02:15,44203,0,0,57,0,0,256,0,0,192,0,0,0,0,0,23,0,0,268,0,0,1,0,0
10,1,6,False,02:30,44203,0,0,79,0,0,402,0,0,193,0,0,0,0,0,1,0,0,122,0,0,0,0,0
11,1,6,False,02:45,44203,0,0,80,0,0,476,0,0,193,0,0,0,0,0,0,0,0,48,0,0,0,0,0
12,1,6,False,03:00,44203,0,0,80,0,0,501,0,0,193,0,0,0,0,0,0,0,0,23,0,0,0,0,0
13,1,6,False,03:15,44203,0,0,80,0,0,513,0,0,193,0,0,0,0,0,0,0,0,11,0,0,0,0,0
