,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,False,00:45,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,False,01:00,44881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0
5,1,6,False,01:15,44881,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
6,1,6,False,01:30,44881,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
7,1,6,False,01:45,44881,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,8,0,0,0,0,0
8,1,6,False,02:00,44219,0,0,0,0,0,6,0,0,0,0,0,31,0,0,607,0,0,137,0,0,0,0,0
9,1,6,False,02:15,44069,0,0,532,0,0,89,0,0,0,0,0,14,0,0,242,0,0,54,0,0,0,0,0
10,1,6,False,02:30,44077,0,0,740,0,0,117,0,0,0,0,0,6,0,0,34,0,0,26,0,0,0,0,0
11,1,6,False,02:45,44083,0,0,768,0,0,129,0,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0
12,1,6,False,03:00,44083,0,0,771,0,0,136,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0
13,1,6,False,03:15,44083,0,0,774,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
