,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
3,1,6,False,00:45,44978,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,0
4,1,6,False,01:00,44768,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,210,0,0,5,0,0
5,1,6,False,01:15,44768,0,0,0,0,0,129,0,0,20,0,0,0,0,0,0,0,0,81,0,0,2,0,0
6,1,6,False,01:30,44768,0,0,0,0,0,172,0,0,21,0,0,0,0,0,0,0,0,38,0,0,1,0,0
7,1,6,False,01:45,44768,0,0,0,0,0,0,0,0,21,0,0,193,0,0,0,0,0,17,0,0,1,0,0
8,1,6,False,02:00,44125,0,0,0,0,0,17,0,0,21,0,0,74,0,0,388,0,0,374,0,0,1,0,0
9,1,6,False,02:15,44164,0,0,360,0,0,228,0,0,22,0,0,33,0,0,30,0,0,163,0,0,0,0,0
10,1,6,False,02:30,44183,0,0,385,0,0,309,0,0,22,0,0,14,0,0,5,0,0,82,0,0,0,0,0
11,1,6,False,02:45,44189,0,0,390,0,0,346,0,0,22,0,0,8,0,0,0,0,0,45,0,0,0,0,0
12,1,6,False,03:00,44197,0,0,390,0,0,368,0,0,22,0,0,0,0,0,0,0,0,23,0,0,0,0,0
13,1,6,False,03:15,44197,0,0,390,0,0,379,0,0,22,0,0,0,0,0,0,0,0,12,0,0,0,0,0
