,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,False,00:45,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,False,01:00,44232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0
5,1,6,False,01:15,44232,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0
6,1,6,False,01:30,44232,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0
7,1,6,False,01:45,44232,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,0,0,42,0,0,0,0,0
8,1,6,False,02:00,44580,0,0,0,0,0,28,0,0,0,0,0,276,0,0,102,0,0,14,0,0,0,0,0
9,1,6,False,02:15,44514,0,0,85,0,0,36,0,0,0,0,0,102,0,0,257,0,0,6,0,0,0,0,0
10,1,6,False,02:30,44578,0,0,290,0,0,38,0,0,0,0,0,38,0,0,52,0,0,4,0,0,0,0,0
11,1,6,False,02:45,44597,0,0,335,0,0,40,0,0,0,0,0,19,0,0,7,0,0,2,0,0,0,0,0
12,1,6,False,03:00,44611,0,0,339,0,0,40,0,0,0,0,0,5,0,0,3,0,0,2,0,0,0,0,0
13,1,6,False,03:15,44614,0,0,341,0,0,40,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0
