,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0
3,1,6,False,00:45,44488,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,248,0,0
4,1,6,False,01:00,43874,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,614,0,0,120,0,0
5,1,6,False,01:15,43874,0,0,0,0,0,364,0,0,460,0,0,0,0,0,0,0,0,250,0,0,52,0,0
6,1,6,False,01:30,43874,0,0,0,0,0,490,0,0,491,0,0,0,0,0,0,0,0,124,0,0,21,0,0
7,1,6,False,01:45,43874,0,0,0,0,0,0,0,0,508,0,0,553,0,0,0,0,0,61,0,0,4,0,0
8,1,6,False,02:00,43711,0,0,0,0,0,44,0,0,510,0,0,208,0,0,177,0,0,348,0,0,2,0,0
9,1,6,False,02:15,43836,0,0,142,0,0,256,0,0,512,0,0,83,0,0,35,0,0,136,0,0,0,0,0
10,1,6,False,02:30,43882,0,0,177,0,0,338,0,0,512,0,0,37,0,0,0,0,0,54,0,0,0,0,0
11,1,6,False,02:45,43908,0,0,177,0,0,362,0,0,512,0,0,11,0,0,0,0,0,30,0,0,0,0,0
12,1,6,False,03:00,43919,0,0,177,0,0,378,0,0,512,0,0,0,0,0,0,0,0,14,0,0,0,0,0
13,1,6,False,03:15,43919,0,0,177,0,0,386,0,0,512,0,0,0,0,0,0,0,0,6,0,0,0,0,0
