,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0
3,1,6,False,00:45,44679,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,125,0,0
4,1,6,False,01:00,43931,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,748,0,0,60,0,0
5,1,6,False,01:15,43931,0,0,0,0,0,410,0,0,293,0,0,0,0,0,0,0,0,338,0,0,28,0,0
6,1,6,False,01:30,43931,0,0,0,0,0,597,0,0,321,0,0,0,0,0,0,0,0,151,0,0,0,0,0
7,1,6,False,01:45,43931,0,0,0,0,0,0,0,0,321,0,0,679,0,0,0,0,0,69,0,0,0,0,0
8,1,6,False,02:00,44062,0,0,0,0,0,40,0,0,321,0,0,259,0,0,289,0,0,29,0,0,0,0,0
9,1,6,False,02:15,44184,0,0,289,0,0,55,0,0,321,0,0,110,0,0,27,0,0,14,0,0,0,0,0
10,1,6,False,02:30,44244,0,0,312,0,0,69,0,0,321,0,0,50,0,0,4,0,0,0,0,0,0,0,0
11,1,6,False,02:45,44270,0,0,312,0,0,69,0,0,321,0,0,24,0,0,4,0,0,0,0,0,0,0,0
12,1,6,False,03:00,44289,0,0,316,0,0,69,0,0,321,0,0,5,0,0,0,0,0,0,0,0,0,0,0
13,1,6,False,03:15,44292,0,0,316,0,0,69,0,0,321,0,0,2,0,0,0,0,0,0,0,0,0,0,0
