,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0
3,1,6,False,00:45,44840,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,85,0,0
4,1,6,False,01:00,44754,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,86,0,0,46,0,0
5,1,6,False,01:15,44754,0,0,0,0,0,39,0,0,140,0,0,0,0,0,0,0,0,47,0,0,20,0,0
6,1,6,False,01:30,44754,0,0,0,0,0,64,0,0,151,0,0,0,0,0,0,0,0,22,0,0,9,0,0
7,1,6,False,01:45,44754,0,0,0,0,0,0,0,0,154,0,0,75,0,0,0,0,0,11,0,0,6,0,0
8,1,6,False,02:00,43888,0,0,0,0,0,7,0,0,158,0,0,20,0,0,405,0,0,520,0,0,2,0,0
9,1,6,False,02:15,43883,0,0,380,0,0,300,0,0,158,0,0,0,0,0,50,0,0,227,0,0,2,0,0
10,1,6,False,02:30,43883,0,0,416,0,0,425,0,0,158,0,0,0,0,0,14,0,0,102,0,0,2,0,0
11,1,6,False,02:45,43883,0,0,430,0,0,466,0,0,160,0,0,0,0,0,0,0,0,61,0,0,0,0,0
12,1,6,False,03:00,43883,0,0,430,0,0,502,0,0,160,0,0,0,0,0,0,0,0,25,0,0,0,0,0
13,1,6,False,03:15,43883,0,0,430,0,0,514,0,0,160,0,0,0,0,0,0,0,0,13,0,0,0,0,0
