,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0
3,1,6,False,00:45,44447,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,260,0,0
4,1,6,False,01:00,44447,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,104,0,0
5,1,6,False,01:15,44447,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,51,0,0
6,1,6,False,01:30,44447,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,23,0,0
7,1,6,False,01:45,44447,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0,0,0,0,0,11,0,0
8,1,6,False,02:00,43601,0,0,0,0,0,0,0,0,545,0,0,0,0,0,586,0,0,260,0,0,8,0,0
9,1,6,False,02:15,43601,0,0,548,0,0,149,0,0,553,0,0,0,0,0,38,0,0,111,0,0,0,0,0
10,1,6,False,02:30,43601,0,0,573,0,0,204,0,0,553,0,0,0,0,0,13,0,0,56,0,0,0,0,0
11,1,6,False,02:45,43601,0,0,580,0,0,233,0,0,553,0,0,0,0,0,6,0,0,27,0,0,0,0,0
12,1,6,False,03:00,43601,0,0,585,0,0,249,0,0,553,0,0,0,0,0,1,0,0,11,0,0,0,0,0
13,1,6,False,03:15,43601,0,0,585,0,0,254,0,0,553,0,0,0,0,0,1,0,0,6,0,0,0,0,0
