,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,False,00:45,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,False,01:00,44073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,0,0,0,0,0
5,1,6,False,01:15,44073,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0
6,1,6,False,01:30,44073,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0
7,1,6,False,01:45,44073,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,98,0,0,0,0,0
8,1,6,False,02:00,43917,0,0,0,0,0,55,0,0,0,0,0,309,0,0,249,0,0,470,0,0,0,0,0
9,1,6,False,02:15,44110,0,0,243,0,0,334,0,0,0,0,0,116,0,0,6,0,0,191,0,0,0,0,0
10,1,6,False,02:30,44185,0,0,247,0,0,446,0,0,0,0,0,41,0,0,2,0,0,79,0,0,0,0,0
11,1,6,False,02:45,44226,0,0,248,0,0,515,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0
12,1,6,False,03:00,44226,0,0,249,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,6,False,03:15,44226,0,0,249,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
