,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0
3,1,6,False,00:45,44902,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,48,0,0
4,1,6,False,01:00,44902,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,23,0,0
5,1,6,False,01:15,44902,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,7,0,0
6,1,6,False,01:30,44902,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,1,6,False,01:45,44902,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8,1,6,False,02:00,44483,0,0,0,0,0,0,0,0,96,0,0,0,0,0,203,0,0,216,0,0,2,0,0
9,1,6,False,02:15,44248,0,0,166,0,0,124,0,0,97,0,0,0,0,0,272,0,0,92,0,0,1,0,0
10,1,6,False,02:30,44248,0,0,402,0,0,175,0,0,97,0,0,0,0,0,36,0,0,41,0,0,1,0,0
11,1,6,False,02:45,44248,0,0,424,0,0,201,0,0,98,0,0,0,0,0,14,0,0,15,0,0,0,0,0
12,1,6,False,03:00,44248,0,0,438,0,0,209,0,0,98,0,0,0,0,0,0,0,0,7,0,0,0,0,0
13,1,6,False,03:15,44248,0,0,438,0,0,215,0,0,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0
